Key,schinese
0-QuestOverhaul-JT,--------------------------------------------------------------------
quest_tier2_superinfested_clear,第 2 级超级感染
quest_tier3_superinfested_clear,第 3 级超级感染
quest_tier4_superinfested_clear,第 4 级超级感染
quest_tier5_superinfested_clear,第 5 级超级感染
quest_tier6_superinfested_clear,第 6 级超级感染
quest_tier2_ultrainfested_clear,第 2 级究极感染
quest_tier3_ultrainfested_clear,第 3 级究极感染
quest_tier4_ultrainfested_clear,第 4 级究极感染
quest_tier5_ultrainfested_clear,第 5 级究极感染
quest_tier6_ultrainfested_clear,第 6 级究极感染
quest_tier2_nightmare_clear,第 2 级梦魇
quest_tier3_nightmare_clear,第 3 级梦魇
quest_tier4_nightmare_clear,第 4 级梦魇
quest_tier5_nightmare_clear,第 5 级梦魇
quest_tier6_nightmare_clear,第 6 级梦魇
quest_superinfestation_response1,超级感染清除 [7eb293]T1[-] POI（[DECEA3]{poi.distance} {poi.direction}[-]） [ea899a]{poi.name}[-]
quest_superinfestation_response2,超级感染清除 [fef580]T2[-] POI（[DECEA3]{poi.distance} {poi.direction}[-]） [ea899a]{poi.name}[-]
quest_superinfestation_response3,超级感染清除 [ff8800]T3[-] POI（[DECEA3]{poi.distance} {poi.direction}[-]） [ea899a]{poi.name}[-]
quest_superinfestation_response4,超级感染清除 [c4342d]T4[-] POI（[DECEA3]{poi.distance} {poi.direction}[-]） [ea899a]{poi.name}[-]
quest_superinfestation_response5,超级感染清除 [66033c]T5[-] POI [DECEA3]{poi.distance} {poi.direction}[-]） [ea899a]{poi.name}[-]
quest_ultrainfestation_response1,究极感染清除 [7eb293]T1[-] POI（[DECEA3]{poi.distance} {poi.direction}[-]） [ea899a]{poi.name}[-]
quest_ultrainfestation_response2,究极感染清除 [fef580]T2[-] POI（[DECEA3]{poi.distance} {poi.direction}[-]） [ea899a]{poi.name}[-]
quest_ultrainfestation_response3,究极感染清除 [ff8800]T3[-] POI（[DECEA3]{poi.distance} {poi.direction}[-]） [ea899a]{poi.name}[-]
quest_ultrainfestation_response4,究极感染清除 [c4342d]T4[-] POI（[DECEA3]{poi.distance} {poi.direction}[-]） [ea899a]{poi.name}[-]
quest_ultrainfestation_response5,究极感染清除 [66033c]T5[-] POI（[DECEA3]{poi.distance} {poi.direction}[-]） [ea899a]{poi.name}[-]
quest_nightmare_response1,梦魇清除 [7eb293]T1[-] POI （[DECEA3]{poi.distance} {poi.direction}[-]） [ea899a]{poi.name}[-]
quest_nightmare_response2,梦魇清除 [fef580]T2[-] POI （[DECEA3]{poi.distance} {poi.direction}[-]） [ea899a]{poi.name}[-]
quest_nightmare_response3,梦魇清除 [ff8800]T3[-] POI （[DECEA3]{poi.distance} {poi.direction}[-]） [ea899a]{poi.name}[-]
quest_nightmare_response4,梦魇清除 [c4342d]T4[-] POI （[DECEA3]{poi.distance} {poi.direction}[-]） [ea899a]{poi.name}[-]
quest_nightmare_response5,梦魇清除 [66033c]T5[-] POI （[DECEA3]{poi.distance} {poi.direction}[-]） [ea899a]{poi.name}[-]
